Song,Uri,Artist,Audio_features
Gangnam Style (강남스타일),1R2SZUOGJqqBiLuvwKOT2Y,PSY,"[{'danceability': 0.727, 'energy': 0.938, 'key': 11, 'loudness': -2.872, 'mode': 0, 'speechiness': 0.288, 'acousticness': 0.00432, 'instrumentalness': 0, 'liveness': 0.0911, 'valence': 0.757, 'tempo': 132.077, 'type': 'audio_features', 'id': '1R2SZUOGJqqBiLuvwKOT2Y', 'uri': 'spotify:track:1R2SZUOGJqqBiLuvwKOT2Y', 'track_href': 'https://api.spotify.com/v1/tracks/1R2SZUOGJqqBiLuvwKOT2Y', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1R2SZUOGJqqBiLuvwKOT2Y', 'duration_ms': 219493, 'time_signature': 4}]"
Feel This Moment (feat. Christina Aguilera),4yOn1TEcfsKHUJCL2h1r8I,Pitbull,"[{'danceability': 0.668, 'energy': 0.758, 'key': 7, 'loudness': -3.589, 'mode': 1, 'speechiness': 0.158, 'acousticness': 0.0338, 'instrumentalness': 0, 'liveness': 0.204, 'valence': 0.531, 'tempo': 135.958, 'type': 'audio_features', 'id': '4yOn1TEcfsKHUJCL2h1r8I', 'uri': 'spotify:track:4yOn1TEcfsKHUJCL2h1r8I', 'track_href': 'https://api.spotify.com/v1/tracks/4yOn1TEcfsKHUJCL2h1r8I', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4yOn1TEcfsKHUJCL2h1r8I', 'duration_ms': 229507, 'time_signature': 4}]"
Capsize,3GBlLqIYgB8zWaeWDNJzdh,FRENSHIP,"[{'danceability': 0.681, 'energy': 0.708, 'key': 5, 'loudness': -6.019, 'mode': 0, 'speechiness': 0.0304, 'acousticness': 0.042, 'instrumentalness': 0.14, 'liveness': 0.682, 'valence': 0.356, 'tempo': 92.993, 'type': 'audio_features', 'id': '3GBlLqIYgB8zWaeWDNJzdh', 'uri': 'spotify:track:3GBlLqIYgB8zWaeWDNJzdh', 'track_href': 'https://api.spotify.com/v1/tracks/3GBlLqIYgB8zWaeWDNJzdh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GBlLqIYgB8zWaeWDNJzdh', 'duration_ms': 237760, 'time_signature': 4}]"
Magical,43lwHSTEexXRVVeXZtAtfi,Tungevaag,"[{'danceability': 0.504, 'energy': 0.912, 'key': 1, 'loudness': -2.867, 'mode': 1, 'speechiness': 0.259, 'acousticness': 0.199, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.248, 'tempo': 189.983, 'type': 'audio_features', 'id': '43lwHSTEexXRVVeXZtAtfi', 'uri': 'spotify:track:43lwHSTEexXRVVeXZtAtfi', 'track_href': 'https://api.spotify.com/v1/tracks/43lwHSTEexXRVVeXZtAtfi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/43lwHSTEexXRVVeXZtAtfi', 'duration_ms': 218539, 'time_signature': 4}]"
Bleeding Love,6LtPIXlIzPOTF8vTecYjRe,Leona Lewis,"[{'danceability': 0.635, 'energy': 0.647, 'key': 5, 'loudness': -5.864, 'mode': 1, 'speechiness': 0.0366, 'acousticness': 0.192, 'instrumentalness': 0, 'liveness': 0.154, 'valence': 0.201, 'tempo': 104.058, 'type': 'audio_features', 'id': '6LtPIXlIzPOTF8vTecYjRe', 'uri': 'spotify:track:6LtPIXlIzPOTF8vTecYjRe', 'track_href': 'https://api.spotify.com/v1/tracks/6LtPIXlIzPOTF8vTecYjRe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6LtPIXlIzPOTF8vTecYjRe', 'duration_ms': 262693, 'time_signature': 4}]"
Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,Tujamo,"[{'danceability': 0.579, 'energy': 0.896, 'key': 5, 'loudness': -4.132, 'mode': 0, 'speechiness': 0.373, 'acousticness': 0.00945, 'instrumentalness': 0.836, 'liveness': 0.121, 'valence': 0.103, 'tempo': 125.672, 'type': 'audio_features', 'id': '48kF7W23OIcVBsNY5UesuQ', 'uri': 'spotify:track:48kF7W23OIcVBsNY5UesuQ', 'track_href': 'https://api.spotify.com/v1/tracks/48kF7W23OIcVBsNY5UesuQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/48kF7W23OIcVBsNY5UesuQ', 'duration_ms': 160000, 'time_signature': 4}]"
Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,Jonas Blue,"[{'danceability': 0.742, 'energy': 0.819, 'key': 1, 'loudness': -5.307, 'mode': 1, 'speechiness': 0.0487, 'acousticness': 0.372, 'instrumentalness': 0, 'liveness': 0.277, 'valence': 0.709, 'tempo': 117.986, 'type': 'audio_features', 'id': '1CUVN2kn7mW5FjkqXTR2W1', 'uri': 'spotify:track:1CUVN2kn7mW5FjkqXTR2W1', 'track_href': 'https://api.spotify.com/v1/tracks/1CUVN2kn7mW5FjkqXTR2W1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1CUVN2kn7mW5FjkqXTR2W1', 'duration_ms': 196613, 'time_signature': 4}]"
Thinking About You,3eBwnjEe60kDJAMlFg1ewf,Axwell /\ Ingrosso,"[{'danceability': 0.69, 'energy': 0.811, 'key': 8, 'loudness': -5.475, 'mode': 1, 'speechiness': 0.058, 'acousticness': 0.044, 'instrumentalness': 0, 'liveness': 0.205, 'valence': 0.521, 'tempo': 122.001, 'type': 'audio_features', 'id': '3eBwnjEe60kDJAMlFg1ewf', 'uri': 'spotify:track:3eBwnjEe60kDJAMlFg1ewf', 'track_href': 'https://api.spotify.com/v1/tracks/3eBwnjEe60kDJAMlFg1ewf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3eBwnjEe60kDJAMlFg1ewf', 'duration_ms': 204590, 'time_signature': 4}]"
Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,Joel Adams,"[{'danceability': 0.513, 'energy': 0.768, 'key': 4, 'loudness': -4.868, 'mode': 0, 'speechiness': 0.0587, 'acousticness': 0.0118, 'instrumentalness': 1.94e-05, 'liveness': 0.294, 'valence': 0.235, 'tempo': 84.264, 'type': 'audio_features', 'id': '3cNjgVBKTJ1SvKhunrCdVy', 'uri': 'spotify:track:3cNjgVBKTJ1SvKhunrCdVy', 'track_href': 'https://api.spotify.com/v1/tracks/3cNjgVBKTJ1SvKhunrCdVy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3cNjgVBKTJ1SvKhunrCdVy', 'duration_ms': 210580, 'time_signature': 4}]"
Lions in the Wild,6F1kPSgdnlSzZRfskE9vaV,Martin Garrix,"[{'danceability': 0.504, 'energy': 0.847, 'key': 7, 'loudness': -6.81, 'mode': 0, 'speechiness': 0.0442, 'acousticness': 0.00434, 'instrumentalness': 0, 'liveness': 0.816, 'valence': 0.28, 'tempo': 127.854, 'type': 'audio_features', 'id': '6F1kPSgdnlSzZRfskE9vaV', 'uri': 'spotify:track:6F1kPSgdnlSzZRfskE9vaV', 'track_href': 'https://api.spotify.com/v1/tracks/6F1kPSgdnlSzZRfskE9vaV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6F1kPSgdnlSzZRfskE9vaV', 'duration_ms': 211890, 'time_signature': 4}]"
Never Be Like You,12REd1n8PeiHHWOh066tpr,Flume,"[{'danceability': 0.494, 'energy': 0.559, 'key': 0, 'loudness': -5.445, 'mode': 1, 'speechiness': 0.0565, 'acousticness': 0.436, 'instrumentalness': 0, 'liveness': 0.164, 'valence': 0.264, 'tempo': 119.247, 'type': 'audio_features', 'id': '12REd1n8PeiHHWOh066tpr', 'uri': 'spotify:track:12REd1n8PeiHHWOh066tpr', 'track_href': 'https://api.spotify.com/v1/tracks/12REd1n8PeiHHWOh066tpr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/12REd1n8PeiHHWOh066tpr', 'duration_ms': 233337, 'time_signature': 4}]"
Treat You Better,53B2XmmjJ9rriW1qciMBeX,Shawn Mendes,"[{'danceability': 0.45, 'energy': 0.825, 'key': 10, 'loudness': -4.066, 'mode': 0, 'speechiness': 0.372, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.109, 'valence': 0.742, 'tempo': 82.823, 'type': 'audio_features', 'id': '53B2XmmjJ9rriW1qciMBeX', 'uri': 'spotify:track:53B2XmmjJ9rriW1qciMBeX', 'track_href': 'https://api.spotify.com/v1/tracks/53B2XmmjJ9rriW1qciMBeX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/53B2XmmjJ9rriW1qciMBeX', 'duration_ms': 187973, 'time_signature': 4}]"
Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,"[{'danceability': 0.732, 'energy': 0.396, 'key': 4, 'loudness': -9.348, 'mode': 0, 'speechiness': 0.0286, 'acousticness': 0.0841, 'instrumentalness': 3.58e-05, 'liveness': 0.105, 'valence': 0.548, 'tempo': 90.024, 'type': 'audio_features', 'id': '6i0V12jOa3mr6uu4WYhUBr', 'uri': 'spotify:track:6i0V12jOa3mr6uu4WYhUBr', 'track_href': 'https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr', 'duration_ms': 195920, 'time_signature': 4}]"
Send My Love (To Your New Lover),3KZcrZ36LW9RnChK1iIkth,Adele,"[{'danceability': 0.688, 'energy': 0.532, 'key': 6, 'loudness': -8.361, 'mode': 0, 'speechiness': 0.0875, 'acousticness': 0.0356, 'instrumentalness': 3.08e-06, 'liveness': 0.172, 'valence': 0.565, 'tempo': 164.068, 'type': 'audio_features', 'id': '3KZcrZ36LW9RnChK1iIkth', 'uri': 'spotify:track:3KZcrZ36LW9RnChK1iIkth', 'track_href': 'https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KZcrZ36LW9RnChK1iIkth', 'duration_ms': 223079, 'time_signature': 4}]"
When We Were Young,0cj2joJcY6b4XSRfj2eZOl,Adele,"[{'danceability': 0.377, 'energy': 0.595, 'key': 3, 'loudness': -5.936, 'mode': 1, 'speechiness': 0.0489, 'acousticness': 0.303, 'instrumentalness': 0, 'liveness': 0.095, 'valence': 0.264, 'tempo': 144.464, 'type': 'audio_features', 'id': '0cj2joJcY6b4XSRfj2eZOl', 'uri': 'spotify:track:0cj2joJcY6b4XSRfj2eZOl', 'track_href': 'https://api.spotify.com/v1/tracks/0cj2joJcY6b4XSRfj2eZOl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0cj2joJcY6b4XSRfj2eZOl', 'duration_ms': 290900, 'time_signature': 4}]"
Someone Like You,6QPKYGnAW9QozVz2dSWqRg,Adele,"[{'danceability': 0.554, 'energy': 0.321, 'key': 9, 'loudness': -8.251, 'mode': 1, 'speechiness': 0.028, 'acousticness': 0.893, 'instrumentalness': 0, 'liveness': 0.0996, 'valence': 0.288, 'tempo': 135.047, 'type': 'audio_features', 'id': '6QPKYGnAW9QozVz2dSWqRg', 'uri': 'spotify:track:6QPKYGnAW9QozVz2dSWqRg', 'track_href': 'https://api.spotify.com/v1/tracks/6QPKYGnAW9QozVz2dSWqRg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6QPKYGnAW9QozVz2dSWqRg', 'duration_ms': 285240, 'time_signature': 4}]"
Set Fire to the Rain,5PKWUDfQFtc5qqo8cs1gQp,Adele,"[{'danceability': 0.603, 'energy': 0.67, 'key': 2, 'loudness': -3.882, 'mode': 0, 'speechiness': 0.0249, 'acousticness': 0.00408, 'instrumentalness': 1.66e-06, 'liveness': 0.112, 'valence': 0.445, 'tempo': 107.995, 'type': 'audio_features', 'id': '5PKWUDfQFtc5qqo8cs1gQp', 'uri': 'spotify:track:5PKWUDfQFtc5qqo8cs1gQp', 'track_href': 'https://api.spotify.com/v1/tracks/5PKWUDfQFtc5qqo8cs1gQp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5PKWUDfQFtc5qqo8cs1gQp', 'duration_ms': 242974, 'time_signature': 4}]"
Apologize,1NrJYpdAi7uosDRPmSYrsG,OneRepublic,"[{'danceability': 0.593, 'energy': 0.74, 'key': 8, 'loudness': -6.12, 'mode': 1, 'speechiness': 0.0339, 'acousticness': 0.363, 'instrumentalness': 2.22e-05, 'liveness': 0.102, 'valence': 0.502, 'tempo': 118.008, 'type': 'audio_features', 'id': '1NrJYpdAi7uosDRPmSYrsG', 'uri': 'spotify:track:1NrJYpdAi7uosDRPmSYrsG', 'track_href': 'https://api.spotify.com/v1/tracks/1NrJYpdAi7uosDRPmSYrsG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1NrJYpdAi7uosDRPmSYrsG', 'duration_ms': 208107, 'time_signature': 4}]"
Onnelliseksi,6hvNLxrHBdR1qzdrKasCPE,Juju,"[{'danceability': 0.645, 'energy': 0.434, 'key': 0, 'loudness': -7.791, 'mode': 1, 'speechiness': 0.0399, 'acousticness': 0.00187, 'instrumentalness': 0.00226, 'liveness': 0.124, 'valence': 0.249, 'tempo': 100.01, 'type': 'audio_features', 'id': '6hvNLxrHBdR1qzdrKasCPE', 'uri': 'spotify:track:6hvNLxrHBdR1qzdrKasCPE', 'track_href': 'https://api.spotify.com/v1/tracks/6hvNLxrHBdR1qzdrKasCPE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6hvNLxrHBdR1qzdrKasCPE', 'duration_ms': 213013, 'time_signature': 4}]"
I See Fire,5pY3ovFxbvAg7reGZjJQSp,Ed Sheeran,"[{'danceability': 0.641, 'energy': 0.176, 'key': 6, 'loudness': -11.692, 'mode': 1, 'speechiness': 0.0349, 'acousticness': 0.638, 'instrumentalness': 5.14e-06, 'liveness': 0.252, 'valence': 0.297, 'tempo': 76.031, 'type': 'audio_features', 'id': '5pY3ovFxbvAg7reGZjJQSp', 'uri': 'spotify:track:5pY3ovFxbvAg7reGZjJQSp', 'track_href': 'https://api.spotify.com/v1/tracks/5pY3ovFxbvAg7reGZjJQSp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5pY3ovFxbvAg7reGZjJQSp', 'duration_ms': 299147, 'time_signature': 4}]"
Chasing Cars,11bD1JtSjlIgKgZG2134DZ,Snow Patrol,"[{'danceability': 0.563, 'energy': 0.592, 'key': 9, 'loudness': -4.571, 'mode': 1, 'speechiness': 0.0276, 'acousticness': 0.209, 'instrumentalness': 5.08e-05, 'liveness': 0.132, 'valence': 0.136, 'tempo': 104.016, 'type': 'audio_features', 'id': '11bD1JtSjlIgKgZG2134DZ', 'uri': 'spotify:track:11bD1JtSjlIgKgZG2134DZ', 'track_href': 'https://api.spotify.com/v1/tracks/11bD1JtSjlIgKgZG2134DZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/11bD1JtSjlIgKgZG2134DZ', 'duration_ms': 267933, 'time_signature': 4}]"
Say Something,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,"[{'danceability': 0.407, 'energy': 0.147, 'key': 2, 'loudness': -8.822, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.857, 'instrumentalness': 2.89e-06, 'liveness': 0.0913, 'valence': 0.0765, 'tempo': 141.284, 'type': 'audio_features', 'id': '6Vc5wAMmXdKIAM7WUoEb7N', 'uri': 'spotify:track:6Vc5wAMmXdKIAM7WUoEb7N', 'track_href': 'https://api.spotify.com/v1/tracks/6Vc5wAMmXdKIAM7WUoEb7N', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N', 'duration_ms': 229400, 'time_signature': 3}]"
Go Hard or Go Home,2QJnTfMpNG05KFf2E3gVIJ,Wiz Khalifa,"[{'danceability': 0.651, 'energy': 0.741, 'key': 4, 'loudness': -5.067, 'mode': 0, 'speechiness': 0.0408, 'acousticness': 0.00293, 'instrumentalness': 1.2e-05, 'liveness': 0.217, 'valence': 0.386, 'tempo': 168.02, 'type': 'audio_features', 'id': '2QJnTfMpNG05KFf2E3gVIJ', 'uri': 'spotify:track:2QJnTfMpNG05KFf2E3gVIJ', 'track_href': 'https://api.spotify.com/v1/tracks/2QJnTfMpNG05KFf2E3gVIJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2QJnTfMpNG05KFf2E3gVIJ', 'duration_ms': 232773, 'time_signature': 4}]"
Läikkyy,1gou2U6ZcLKXLBC3MYVtEu,Arttu Lindeman,"[{'danceability': 0.669, 'energy': 0.846, 'key': 4, 'loudness': -3.976, 'mode': 0, 'speechiness': 0.156, 'acousticness': 0.15, 'instrumentalness': 0, 'liveness': 0.154, 'valence': 0.793, 'tempo': 150.014, 'type': 'audio_features', 'id': '1gou2U6ZcLKXLBC3MYVtEu', 'uri': 'spotify:track:1gou2U6ZcLKXLBC3MYVtEu', 'track_href': 'https://api.spotify.com/v1/tracks/1gou2U6ZcLKXLBC3MYVtEu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1gou2U6ZcLKXLBC3MYVtEu', 'duration_ms': 206200, 'time_signature': 4}]"
1972,4htrHrq1AB38vprDEha0hv,Anssi Kela,"[{'danceability': 0.542, 'energy': 0.644, 'key': 3, 'loudness': -6.196, 'mode': 1, 'speechiness': 0.0961, 'acousticness': 0.0219, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.545, 'tempo': 153.972, 'type': 'audio_features', 'id': '4htrHrq1AB38vprDEha0hv', 'uri': 'spotify:track:4htrHrq1AB38vprDEha0hv', 'track_href': 'https://api.spotify.com/v1/tracks/4htrHrq1AB38vprDEha0hv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4htrHrq1AB38vprDEha0hv', 'duration_ms': 249560, 'time_signature': 4}]"
Toxic,26nr9XnFCYWxBTIP7HyWXg,Britney Spears,"[{'danceability': 0.774, 'energy': 0.839, 'key': 5, 'loudness': -3.948, 'mode': 0, 'speechiness': 0.114, 'acousticness': 0.027, 'instrumentalness': 0.0166, 'liveness': 0.252, 'valence': 0.923, 'tempo': 142.985, 'type': 'audio_features', 'id': '26nr9XnFCYWxBTIP7HyWXg', 'uri': 'spotify:track:26nr9XnFCYWxBTIP7HyWXg', 'track_href': 'https://api.spotify.com/v1/tracks/26nr9XnFCYWxBTIP7HyWXg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/26nr9XnFCYWxBTIP7HyWXg', 'duration_ms': 198813, 'time_signature': 4}]"
Älä herätä mua unesta,02RaNOB5CIiXAhgvLE6Xp0,Mikael Gabriel,"[{'danceability': 0.656, 'energy': 0.675, 'key': 1, 'loudness': -7.455, 'mode': 1, 'speechiness': 0.0457, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.0925, 'valence': 0.353, 'tempo': 126.889, 'type': 'audio_features', 'id': '02RaNOB5CIiXAhgvLE6Xp0', 'uri': 'spotify:track:02RaNOB5CIiXAhgvLE6Xp0', 'track_href': 'https://api.spotify.com/v1/tracks/02RaNOB5CIiXAhgvLE6Xp0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/02RaNOB5CIiXAhgvLE6Xp0', 'duration_ms': 204573, 'time_signature': 4}]"
Spaceman,3PfG2rMOU9HglycfbIC4yM,Aste,"[{'danceability': 0.737, 'energy': 0.95, 'key': 6, 'loudness': -2.522, 'mode': 0, 'speechiness': 0.0611, 'acousticness': 0.017, 'instrumentalness': 0, 'liveness': 0.233, 'valence': 0.968, 'tempo': 127.0, 'type': 'audio_features', 'id': '3PfG2rMOU9HglycfbIC4yM', 'uri': 'spotify:track:3PfG2rMOU9HglycfbIC4yM', 'track_href': 'https://api.spotify.com/v1/tracks/3PfG2rMOU9HglycfbIC4yM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3PfG2rMOU9HglycfbIC4yM', 'duration_ms': 197453, 'time_signature': 4}]"
Only One,1ttYNQjND5nBtUnpNMlLQQ,Aste,"[{'danceability': 0.578, 'energy': 0.839, 'key': 2, 'loudness': -3.806, 'mode': 1, 'speechiness': 0.0755, 'acousticness': 0.000649, 'instrumentalness': 0, 'liveness': 0.0708, 'valence': 0.509, 'tempo': 121.995, 'type': 'audio_features', 'id': '1ttYNQjND5nBtUnpNMlLQQ', 'uri': 'spotify:track:1ttYNQjND5nBtUnpNMlLQQ', 'track_href': 'https://api.spotify.com/v1/tracks/1ttYNQjND5nBtUnpNMlLQQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ttYNQjND5nBtUnpNMlLQQ', 'duration_ms': 240280, 'time_signature': 4}]"
Come & Get It,5U2m76qAMdr3gXI0g6ptlG,Selena Gomez,"[{'danceability': 0.349, 'energy': 0.795, 'key': 7, 'loudness': -4.133, 'mode': 0, 'speechiness': 0.0758, 'acousticness': 0.0102, 'instrumentalness': 0.000138, 'liveness': 0.0812, 'valence': 0.542, 'tempo': 148.985, 'type': 'audio_features', 'id': '5U2m76qAMdr3gXI0g6ptlG', 'uri': 'spotify:track:5U2m76qAMdr3gXI0g6ptlG', 'track_href': 'https://api.spotify.com/v1/tracks/5U2m76qAMdr3gXI0g6ptlG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5U2m76qAMdr3gXI0g6ptlG', 'duration_ms': 231987, 'time_signature': 1}]"
Wherever I Go,7kUtJKGZzLNgIkq1Galkt0,OneRepublic,"[{'danceability': 0.543, 'energy': 0.691, 'key': 10, 'loudness': -6.403, 'mode': 0, 'speechiness': 0.0425, 'acousticness': 0.107, 'instrumentalness': 0, 'liveness': 0.218, 'valence': 0.335, 'tempo': 100.014, 'type': 'audio_features', 'id': '7kUtJKGZzLNgIkq1Galkt0', 'uri': 'spotify:track:7kUtJKGZzLNgIkq1Galkt0', 'track_href': 'https://api.spotify.com/v1/tracks/7kUtJKGZzLNgIkq1Galkt0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7kUtJKGZzLNgIkq1Galkt0', 'duration_ms': 170213, 'time_signature': 4}]"
Heatwave (feat. Akon),2KMJ5CoxY4ECG9TZyNWmpv,Robin Schulz,"[{'danceability': 0.702, 'energy': 0.82, 'key': 7, 'loudness': -4.323, 'mode': 0, 'speechiness': 0.063, 'acousticness': 0.196, 'instrumentalness': 0, 'liveness': 0.156, 'valence': 0.52, 'tempo': 107.936, 'type': 'audio_features', 'id': '2KMJ5CoxY4ECG9TZyNWmpv', 'uri': 'spotify:track:2KMJ5CoxY4ECG9TZyNWmpv', 'track_href': 'https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2KMJ5CoxY4ECG9TZyNWmpv', 'duration_ms': 187126, 'time_signature': 4}]"
Hubba Bubba,2hQVEDz4hG8RGmzSPKTDrT,Teflon Brothers,"[{'danceability': 0.68, 'energy': 0.847, 'key': 11, 'loudness': -6.439, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.000755, 'instrumentalness': 0, 'liveness': 0.159, 'valence': 0.792, 'tempo': 136.039, 'type': 'audio_features', 'id': '2hQVEDz4hG8RGmzSPKTDrT', 'uri': 'spotify:track:2hQVEDz4hG8RGmzSPKTDrT', 'track_href': 'https://api.spotify.com/v1/tracks/2hQVEDz4hG8RGmzSPKTDrT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2hQVEDz4hG8RGmzSPKTDrT', 'duration_ms': 207394, 'time_signature': 4}]"
